,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
26,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
29,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
31,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
32,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False
36,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False
45,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
47,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
48,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False
64,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
65,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
77,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False
107,1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True
109,1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False
